,Name,Year,Genre,Main Cast,Sinopsis,Score,Content Rating,Genre,Network,img url,Episode
531,Big Issue,2019,"Thriller, Mystery, Romance, Drama","Han Ye Seul, Joo Jin Mo, Shin So Yool, Kim Hee Won, Park Seon Im, Kim Bit Na Ri","Set within the frenzy world of the paparazzi media. Due to a photograph, Han Seok Joo loses everything, including his job as a photographer for a top newspaper and his family. Ji Soo Hyun is the notorious chief editor of a paparazzi group. She hires the man to become a paparazzi photographer. ,",7.9,15+ - Teens 15 or older,"Badass Female Lead,, Photography,, Strong Female Lead,, Investigation,, Boss-Employee Relationship,, Workplace Setting,, Paparazzi Male Lead,, Ex-spouse Relationship,, Photographer Male Lead,, Editor-in-chief Female Lead","Apple TV, Viki",https://i.mydramalist.com/Z0q4Oc.jpg?v=1,32 episodes
532,Cheo Yong Season 2,2015,"Mystery, Drama, Supernatural","Oh Ji Ho, Jeon Hyo Sung, Ha Yun Joo, Joo Jin Mo, Yoo Seung Mok, Yeon Je Wook","Detective Cheo Yong uses his abilities to interact with spirits to solve cases. ,",7.9,Not Yet Rated,"Ghost-seeing Male Lead,, Detective Fiction,, Ghost Female Lead,, Detective Male Lead,, Miniseries,, Death,, Murder,, Ghost,, Investigation","Apple TV, Viki",https://i.mydramalist.com/kyg6Oc.jpg?v=1,10 episodes
533,Eve,2022,"Romance, Drama, Melodrama","Seo Yea Ji, Park Byung Eun, Yoo  Sun, Lee Sang Yeob, Jeon Gook Hwan, Jung Hae Kyun","Lee Ra El was a girl who idolized her loving parents – a highly intelligent father and a strikingly beautiful mother. But when cruel forces beyond their control cause her father’s death, her family crumbles. Embittered by this terrible experience, she vows revenge on the super-rich people who orchestrated this terrible tragedy. Her prime target is Kang Yoon Kyum, the CEO of the lucrative LY Group business empire, and one of the ringleaders of the plot that ultimately destroyed her family. Lee Ra El’s weapon of choice is divorce. By placing herself at the center of a legal battle worth a staggering USD 1.6 billion, she hopes to bring Kang Yoon Kyum and LY Group down once and for all. But in order to do so, she will need to wage a bitter legal struggle and fight powerful forces both inside and outside the courtroom. However, this plan has been in the pipelines for 13 years for Lee Ra El, who believes she will use all of her guile to catch Kang Yoon Kyum out when he least expects it. Can revenge bring her the satisfaction she craves – or will it end up consuming her? , ringleaders of the plot that ultimately destroyed her family. Lee Ra El’s weapon of choice is divorce. By placing herself at the center of a legal battle worth a staggering USD 1.6 billion, she hopes to bring Kang Yoon Kyum and LY Group down once and for all. But in order to do so, she will need to wage a bitter legal struggle and fight powerful forces both inside and outside the courtroom. However, this plan has been in the pipelines for 13 years for Lee Ra El, who believes she will use all of her guile to catch Kang Yoon Kyum out when he least expects it. Can revenge bring her the satisfaction she craves – or will it end up consuming her? ",7.9,18+ Restricted (violence & profanity),"Scheme,, Rich Female Lead,, Orphan Male Lead,, Death,, Strong Female Lead,, Revenge,, Politician Male Lead,, Company President (CEO) Male Lead,, Married Life,, Strict Parent","iQIYI, Viki",https://i.mydramalist.com/eBdY8_4c.jpg?v=1,16 episodes
534,The Three Musketeers,2014,"Action, Adventure, Historical, Romance","Jung Yong Hwa, Lee Jin Wook, Yang Dong Geun, Jung Hae In, Seo Hyun Jin, Yoo In Young","Set in the Joseon Dynasty period (during the confusion of justification and the period of espionage and transition from ming to ping), when the public desire for social reform was at a high. The three-arc historical action-romance drama, in which warriors and spies step back and forth along borders, follows Crown Prince So Hyeon, his two bodyguards, Heo Seung Po and An Min Seo, as well as Park Dal Hyang, a yangban come warrior who has everything going for him, including personality and looks, even though he comes from a poor family. Dal Hyang is also involved in a love triangle between Yoon Seo, the Crown Princess, and Crown Prince So Hyeon. Meanwhile, Jo Mi Ryeong is Prince So Hyeon\s first love, who later becomes the prince’s enemy and decides to take revenge. Loosely adapted from the novel ""The Three Musketeers"" (Les Trois Mousquetaires) by Alexandre Dumas., come warrior who has everything going for him, including personality and looks, even though he comes from a poor family. Dal Hyang is also involved in a love triangle between Yoon Seo, the Crown Princess, and Crown Prince So Hyeon. Meanwhile, Jo Mi Ryeong is Prince So Hyeon\s first love, who later becomes the prince’s enemy and decides to take revenge. Loosely adapted from the novel ""The Three Musketeers"" (Les Trois Mousquetaires) by Alexandre Dumas.",7.9,15+ - Teens 15 or older,"Joseon Dynasty,, Friendship,, Revenge,, Bromance,, Comedy,, Royalty,, Kind Male Lead,, Historical Fiction,, Hidden Identity,, Love Square",Tubi,https://i.mydramalist.com/Z8b0kc.jpg?v=1,12 episodes
535,Mental Coach Jegal,2022,"Comedy, Drama, Sports","Jung Woo, Lee Yoo Mi, Kwon Yool, Park Se Young, Moon You Kang, Cha Soon Bae","A sports drama about a former national athlete who quits sports after causing a scandal and becomes a mental coach to help former professional athletes who have retired and current athletes who have fallen into a slump. Je Gal Gil is a former national Taekwondo athlete who is known for his hard work and dorky charms. After he causes an unprecedented accident in the athlete’s village, Je Gal Gil is permanently expelled and coined the unlucky Taekwondo prodigy. Once he overcomes his past trauma and\xa0regains his mental health, Je Gal Gil returns to the athlete’s village as a mental coach. Cha Ga Eul is a former world-class short track speed skating gold medalist who has fallen into a slump. With her pretty poker face, she’s known as the up-and-coming “Ice Princess,”\xa0but she faces the danger of fading out when she falls into a slump. Unable to confide in anyone, Cha Ga Eul begins to beat herself up until she meets mental coach Je Gal Gil. Gu Tae Man is the director of the Human Rights Center in the Korean Olympic Committee. The former Taekwondo Olympic gold medalist has a strong desire for power and is the reason Je Gal Gil’s life was\xa0transformed overnight. With the belief that anything can be covered as long as he is No. 1, Gu Tae Min does everything he can for the top position. Park Seung Ha\xa0is a part of\xa0the mental health support team in the athlete’s village. She is the perfect example of “a kind daughter who was raised well” but endures an unexpected hardship after meeting Je Gal Gil as her first patient. Park Seung Ha ends up leaving the hospital and applying to the athlete’s village instead where she surprisingly reunites with Je Gal Gil, this time as advisor partners. , and coined the unlucky Taekwondo prodigy. Once he overcomes his past trauma and\xa0regains his mental health, Je Gal Gil returns to the athlete’s village as a mental coach. Cha Ga Eul is a former world-class short track speed skating gold medalist who has fallen into a slump. With her pretty poker face, she’s known as the up-and-coming “Ice Princess,”\xa0but she faces the danger of fading out when she falls into a slump. Unable to confide in anyone, Cha Ga Eul begins to beat herself up until she meets mental coach Je Gal Gil. Gu Tae Man is the director of the Human Rights Center in the Korean Olympic Committee. The former Taekwondo Olympic gold medalist has a strong desire for power and is the reason Je Gal Gil’s life was\xa0transformed overnight. With the belief that anything can be covered as long as he is No. 1, Gu Tae Min does everything he can for the top position. Park Seung Ha\xa0is a part of\xa0the mental health support team in the athlete’s village. She is the perfect example of “a kind daughter who was raised well” but endures an unexpected hardship after meeting Je Gal Gil as her first patient. Park Seung Ha ends up leaving the hospital and applying to the athlete’s village instead where she surprisingly reunites with Je Gal Gil, this time as advisor partners. ",7.9,15+ - Teens 15 or older,"Slight Romance,, Slow Burn Romance,, Coach Male Lead,, Athlete Female Lead,, Short Track Speed Skating,, Former Athlete Male Lead,, Multiple Mains,, Age Gap Drama Life,, Age Gap Real Life,, Doctor Female Lead","Apple TV, Viki",https://i.mydramalist.com/2p7KO_4c.jpg?v=1,16 episodes
536,My ID Is Gangnam Beauty,2018,"Psychological, Romance, Youth, Drama","Im Soo Hyang, Cha Eun Woo, Jo Woo Ri, Kwak Dong Yeon, Park Joo Mi, Park Sung Geun","This series tells the story of Kang Mi Rae, a girl once bullied for her looks. As a result, she became insecure, cautious around people and withdrawn. However, Mi Rae decides she wants a fresh start away from bullying and gets plastic surgery to transform her face. When she begins university, she meets Do Kyung Suk from their middle school days, who sees people for what they are on the inside and not the outside; he then becomes attracted to Kang Mi Rae. As Mi Rae begins to get teased once more and labeled ""Gangnam Beauty"", the cold, aloof but kind inside Kyung Suk becomes the one person that stands up for her and in the process, Mi Rae begins to recover her lost confidence and discovers that true beauty is not on the outside. Adapted from the webtoon “My ID is Gangnam Beauty” ( ID !) by Gi Maeng Gi ()., not the outside; he then becomes attracted to Kang Mi Rae. As Mi Rae begins to get teased once more and labeled ""Gangnam Beauty"", the cold, aloof but kind inside Kyung Suk becomes the one person that stands up for her and in the process, Mi Rae begins to recover her lost confidence and discovers that true beauty is not on the outside. Adapted from the webtoon “My ID is Gangnam Beauty” ( ID !) by Gi Maeng Gi ().",7.9,15+ - Teens 15 or older,"Nice Female Lead,, Beauty Standards,, Male Chases Female First,, Nice Male Lead,, Plastic Surgery,, Adapted From A Webtoon,, Calm Male Lead,, Friends To Lovers,, School Bullying,, Childhood Acquaintance","Disney+ Hotstar, Prime Video, Apple TV, iflix, iQIYI, Viki, WeTV, Netflix",https://i.mydramalist.com/DXB6rc.jpg?v=1,16 episodes
537,Hwang Jin Yi,2006,"Historical, Romance, Drama","Ha Ji Won, Kim Young Ae, Wang Bit Na, Kim Jae Won, Ryu Tae Joon, Jang Geun Suk","This story is about the life of Joseon dancer, musician and poet, Hwang Jin Yi, who seeks perfection in her art relentlessly and the hardship facing women due to their lowly social status. ,",7.9,15+ - Teens 15 or older,"Performing Arts,, Joseon Dynasty,, Star Crossed Lovers,, Poetry,, Poetic Narration,, Genius Male Lead,, Rival Groups,, Music Composition,, Attempted Suicide,, Forbidden Love","KBS World, Viki",https://i.mydramalist.com/d0Q0gc.jpg?v=1,24 episodes
538,Scripting Your Destiny,2021,"Comedy, Romance, Fantasy","Ki Do Hoon, Jeon So Nee, Kim Woo Seok, Park Sang Nam, Gal So Won, So Hee Jung","Shin Ho Yoon is a powerful god in charge of determining human fate. His job in the celestial world is to write the destinies of mortals. But when he is charged with writing a romantic fate, he decides to steal ideas he reads in notes for a future screenplay authored by scriptwriter Go Chae Kyung. The latter is a drama series writer who pens outlandish and overly dramatic dramas. The tale Shin Ho Yoon concocts involves pairing Go Chae Kyung with a near-perfect individual – a kind-hearted and ever-fortunate television producer named Jung Ba Reum. In his mortal guise, Shin Ho Yoon is Go Chae Kyung’s landlord, and from this position, he plans to help bring her together with Jung Ba Reum. But little by little, he finds himself developing feelings for her – a fact that threatens to derail his own carefully laid plans… , Ho Yoon concocts involves pairing Go Chae Kyung with a near-perfect individual – a kind-hearted and ever-fortunate television producer named Jung Ba Reum. In his mortal guise, Shin Ho Yoon is Go Chae Kyung’s landlord, and from this position, he plans to help bring her together with Jung Ba Reum. But little by little, he finds himself developing feelings for her – a fact that threatens to derail his own carefully laid plans… ",7.9,15+ - Teens 15 or older,"Fate,, Web Series,, Hidden Identity,, First Love,, Flashback To Past,, Deity Supporting Character,, Deity Male Lead,, Star Crossed Lovers,, Forbidden Love,, Bromance","iQIYI, Viki",https://i.mydramalist.com/dkrdD_4c.jpg?v=1,10 episodes
539,Good Job,2022,"Mystery, Comedy, Romance, Fantasy","Jung Il Woo, Kwon Yu Ri, Eum Moon Suk, Song Sang Eun, Yoon Sun Woo, Lee Joon Hyuk","Follows the joint investigation and romance story of a\xa0chaebol\xa0who leads a second life as a detective and a\xa0woman with super vision. Eun Sun Woo is a\xa0chaebol\xa0among\xa0chaebols\xa0who owns the Eunkang group and also runs a detective agency. From a young age, Eun Sun Woo has shown a brilliant mind and shockingly unparalleled athletic abilities. He is a figure who is completely different in his two lives as a detective and as a chairman of a group, easily\xa0switching from being conceited to being a gentleman. Don Se Ra is a cheerful person who was born with super vision. In order to hide her powers,\xa0Don Se Ra goes around wearing a thick pair of glasses\xa0to secretly use her ability. While taking on numerous odd jobs in order to help the people around her, she meets\xa0Eun Sun Woo and begins a chaotic love story. , of a group, easily\xa0switching from being conceited to being a gentleman. Don Se Ra is a cheerful person who was born with super vision. In order to hide her powers,\xa0Don Se Ra goes around wearing a thick pair of glasses\xa0to secretly use her ability. While taking on numerous odd jobs in order to help the people around her, she meets\xa0Eun Sun Woo and begins a chaotic love story. ",7.9,15+ - Teens 15 or older,"Supernatural Power,, Crime Solving Duo,, Investigation,, Heir Male Lead,, Detective Fiction,, Company President (CEO) Male Lead,, Detective Male Lead,, Cheerful Female Lead,, Nice Female Lead,, Smart Male Lead","iQIYI, Viki",https://i.mydramalist.com/6644W_4c.jpg?v=1,12 episodes
540,River Where the Moon Rises,2021,"Action, Historical, Romance, Political","Kim So Hyun, Na In Woo, Lee Ji Hoon, Choi Yoo Hwa, Kim Bup Rae, Lee Hae Young","""Born a princess and raised a soldier, Pyeong Gang is a woman with big dreams and limitless ambition. Determined to become the first Empress of Goguryeo, Pyeong Gang will stop at nothing to make her dream come true. Clever and level-headed, Pyeong Gang is well aware of the obstacles that stand in her way, but shes more than capable of taking them on. However, things take an unexpected turn the day she meets On Dal, a peace-loving man whose sole goal in life is to live in harmony with those around him. On Dal is the exact opposite of the ambitious princess. He is an oasis of calm amid the turbulent storms in Pyeong Gangs life. The warrior princess soon finds herself falling for gentle On Dal. Hes equally in love with the princess, whose heart he now possesses. He finds himself forsaking his principles to keep her safe, an endeavor proving to be increasingly difficult, as warring factions lethally vie for the throne. Forced to match both wits and strength against some of the most powerful people in Goguryeo, Pyeong Gangs quest for power could very well cost her everything. Does she have what it takes to realize her goals, or will the price prove to be too much to pay? Adapted from the novel “Princess Pyeonggang” () by Choi Sa Gyu ()."", "" meets On Dal, a peace-loving man whose sole goal in life is to live in harmony with those around him. On Dal is the exact opposite of the ambitious princess. He is an oasis of calm amid the turbulent storms in Pyeong Gangs life. The warrior princess soon finds herself falling for gentle On Dal. Hes equally in love with the princess, whose heart he now possesses. He finds himself forsaking his principles to keep her safe, an endeavor proving to be increasingly difficult, as warring factions lethally vie for the throne. Forced to match both wits and strength against some of the most powerful people in Goguryeo, Pyeong Gangs quest for power could very well cost her everything. Does she have what it takes to realize her goals, or will the price prove to be too much to pay? Adapted from the novel “Princess Pyeonggang” () by Choi Sa Gyu ().""",7.9,15+ - Teens 15 or older,"Strong Female Lead,, Smart Female Lead,, Three Kingdoms Of Korea,, Goguryeo Dynasty,, Female Lead Action Scenes,, Revenge,, Skilled Killer,, War,, Amnesia,, Nice Male Lead",Viki,https://i.mydramalist.com/wEZ01_4c.jpg?v=1,20 episodes
541,Let's Eat,2013,"Food, Comedy, Romance, Drama","Lee Soo Kyung, Yoon Doo Joon, Yoon So Hee, Shim Hyung Tak, Lee Do Yeon, Feeldog","""Let\s Eat"" depicts the daily life and romance of a single woman when a murder case occurs in her neighborhood. Lee Soo Kyung is a 33-year-old single woman. She divorced when she was in her 20s and now lives alone. She always wants to carry herself with dignity, but she loses self-control when she is near gourmet foods. Koo Dae Young is a gourmet, especially talented at describing the taste of foods. He often lies when he opens his mouth, but he is usually considerate of others., He often lies when he opens his mouth, but he is usually considerate of others.",7.9,15+ - Teens 15 or older,"Strong Female Lead,, Nice Male Lead,, Smart Female Lead,, Smart Male Lead,, Older Woman/Younger Man,, Enemies To Friends,, Murder,, Bromance,, Korean Cuisine,, ""Bickering Mains Relationship""","Tubi, Netflix",https://i.mydramalist.com/NdjXYc.jpg?v=1,16 episodes
542,My Lovely Sam Soon,2005,"Food, Comedy, Romance, Drama","Kim Sun Ah, Hyun Bin, Jung Ryeo Won, Daniel Henney, Kim Ja Ok, Lee Ah Hyun","""Kim Sam Soon is a baker who has a talent for making pastries and cakes. On Christmas Eve, she catches her boyfriend, Min Hyun Woo, cheating on her and breaks up. On that same night, she meets Hyun Jin Hun, the owner of a restaurant called Bon Appetit. By sheer coincidence, Jin Hun needs a baker for his restaurant and Sam Soon is unemployed. Sam Soon is hired as the restaurants chief baker and the two fight like cat and dog. "", baker and the two fight like cat and dog. ",7.9,15+ - Teens 15 or older,"Love Triangle,, Ex-girlfriend Comes Back,, Rich Man/Poor Woman,, Older Woman/Younger Man,, Boss-Employee Relationship,, Female Chases Male First,, Contract Relationship,, Family Pressure,, Strong Female Lead,, Mean Male Lead","Viki, WeTV, Apple TV",https://i.mydramalist.com/nOQjWc.jpg?v=1,16 episodes
543,Moebius: The Veil,2021,"Action, Thriller, Mystery, Crime","Park Ha Sun, Jung Moon Sung, Jang Young Nam, Hwang Hee, Choi Deok Moon, Kim Jong Tae","The story of when Agent Seo Soo Yeon, who returns from China, gets involved in a dangerous deal with Agent Jang Chun Woo. ,",7.9,18+ Restricted (violence & profanity),"Agent Female Lead,, Undercover Agent Male Lead,, Undercover Operation,, National Intelligence Service,, Miniseries,, Strong Female Lead,, Investigation,, Suspense","Viki, Prime Video",https://i.mydramalist.com/wB2X1_4c.jpg?v=1,2 episodes
544,All About My Mom,2015,"Romance, Drama, Family, Melodrama","Eugene, Lee Sang Woo, Go Doo Shim, Kim Mi Sook, Choi  Tae Joon, Oh Min Suk","Jin Ae has a love and hate relationship with her mother San Ok. She dreams of becoming independent from her family and especially from her mother. Jin Ae falls in love with Hoon Jae and marries him. Meanwhile, what awaits for Jin Ae is her new mother-in-law. While experiencing difficult times with her mother-in-law, Jin Ae begins to understand her mother San Ok for the first time. ,",7.9,Not Yet Rated,"Cancer,, Nice Male Lead,, Married Female Lead,, Married Male Lead,, Pregnancy","KBS World, Viki",https://i.mydramalist.com/lB2QJc.jpg?v=1,54 episodes
545,Miss Independent Ji Eun,2018,"Comedy, Romance, Life, Drama","Park Gyu Young, Jung Eui Jae, Jang Hee Won","Ji Eun is a girl who enters society for the first time, getting her first job, at 24 she must make important decisions about emotions in her career and her life. ,",7.9,Not Yet Rated,"Miniseries,, Caring Male Lead,, Calm Female Lead,, Male Chases Female First,, Web Series,, Ex-girlfriend Comes Back,, ""Co-workers Relationship,"", Workplace Setting,, ""Best Friends Relationship,"", Office Setting",Dingo K-Drama,https://i.mydramalist.com/13LbKc.jpg?v=1,8 episodes
546,Marry Me Now,2018,"Romance, Medical, Melodrama","Yoo Dong Geun, Jang Mi Hee , Han Ji Hye, Lee Sang Woo, Park Sun Young, Kang Sung Wook","""Park Yoo Ha studied hard in medical school and finished her internship course. She works hard to become a doctor due to her father. Her father raised 4 children by himself and her oldest sister also sacrificed for the family. Today she is married into a rich family and has a daughter. Suddenly, her fathers first love, who is now a businesswoman rich enough to own a building, appears in front of him. Meanwhile, Jung Eun Tae works as a doctor. He volunteered for performing medical service abroad, but he comes back to Korea. Jung Eun Tae is not interested in marriage, because his father placed priority on his medical work over family, and Jung Eun Tae believes he is like his father. "", him. Meanwhile, Jung Eun Tae works as a doctor. He volunteered for performing medical service abroad, but he comes back to Korea. Jung Eun Tae is not interested in marriage, because his father placed priority on his medical work over family, and Jung Eun Tae believes he is like his father. ",7.9,15+ - Teens 15 or older,"Nice Male Lead,, Slow Burn Romance,, Father-Daughter Relationship,, Male Chases Female First,, Friends To Lovers,, Calm Male Lead,, Strong Female Lead,, Character Development,, Mother-Son Relationship,, First Love","Apple TV, KBS World, Viki",https://i.mydramalist.com/Ldd53c.jpg?v=1,50 episodes
547,Devilish Joy,2018,"Comedy, Romance, Drama","Choi Jin Hyuk, Song  Ha Yoon, Hoya, Lee  Joo Yeon, Lee Soo Ji, Kim Min Sang","Would you choose to love someone you could never remember? Gong Ma Sung grew up having a difficult life and experiencing hardships, yet still making joy from it. He is the successor to the Sunwoo company and excels in anything to do with the cranial nerve. From his difficulties, he is respected and looked up to as a brilliant man. One day, his kindness destroys his life. Whilst trying to help a woman in trouble, he gets into an accident, and his life completely changes. He loses the ability to remember, and his memory is only limited to one day. Now, before he goes to sleep and forgets everything, he notes all events from that one day. He wakes up with no recollection of the past and reads back on his notes to memorize. His life changes further when he meets Joo Gi Bbeum, a once-popular star, who was loved by all. She is not as revered as she once was, having to go through a horrible experience that shaped who she is in the present, ruined her confidence, and destroyed her future. When they meet, Gong Ma Sung falls in love with her, and a connection is formed. But how do you develop love when every day seems like the beginning? , woman in trouble, he gets into an accident, and his life completely changes. He loses the ability to remember, and his memory is only limited to one day. Now, before he goes to sleep and forgets everything, he notes all events from that one day. He wakes up with no recollection of the past and reads back on his notes to memorize. His life changes further when he meets Joo Gi Bbeum, a once-popular star, who was loved by all. She is not as revered as she once was, having to go through a horrible experience that shaped who she is in the present, ruined her confidence, and destroyed her future. When they meet, Gong Ma Sung falls in love with her, and a connection is formed. But how do you develop love when every day seems like the beginning? ",7.9,15+ - Teens 15 or older,"Amnesia,, Rich Man/Poor Woman,, Hardworking Female Lead,, Steamy Kiss,, Love At First Sight,, Riches To Rags,, Psychological,, Trauma,, Rich Male Lead,, Misunderstanding","Apple TV, Prime Video, Viki",https://i.mydramalist.com/X8LAZc.jpg?v=1,16 episodes
548,Sandglass,1995,"Action, Romance, Drama, Political","Go Hyun Jung, Park Sang Won, Choi Min Soo, Lee Jung Jae, Park Geun Hyung, Nam Sung Hoon","""The Sandglass is a story of two men whose friendship is tested through the 1970s and 1980s, one of Koreas politically tumultuous periods. Park Tae Soo, tough and loyal, grows up to become a gangster, and Kang Woo Suk, smart with firm moral values, becomes a prosecutor. Yoon Hye Rin, a beautiful and spirited daughter of a very wealthy casino owner, is a classmate of Woo Suk in college. Hye Rin is introduced to Tae Soo via Woo Suk and subsequently, falls in love. "", introduced to Tae Soo via Woo Suk and subsequently, falls in love. ",7.9,Not Yet Rated,"Gwangju Uprising,, 1980s,, Rich Female Lead,, Friendship,, 1970s,, Gangster Male Lead,, Detective Supporting Character,, Prosecutor Supporting Character,, Prosecutor Male Lead,, Historical Fiction",Netflix,https://i.mydramalist.com/B1m76_4c.jpg?v=1,24 episodes
549,Heart to Heart,2015,"Psychological, Comedy, Romance","Choi Kang Hee, Chun Jung Myung, Lee Jae Yoon, Ahn So Hee, Hwang Seung Eon, Lee Moon Jung","""Cha Hong Do suffers from social phobia and has a problem with severe blushing. She does have a strong sense of curiosity and learns from books and the internet. One day, her grandmother, Cha Hong Dos only contact with the outside world, dies. She then begins doing housework as a maid, but disguises herself as an elderly woman. Through an incident, she meets a psychiatrist, Ko Yi Seok. "",",7.9,15+ - Teens 15 or older,"Trauma,, Shy Female Lead,, Mental Illness,, Healing,, Tragic Past,, Psychiatrist Male Lead,, Doctor Male Lead,, Steamy Kiss,, Rich Man/Poor Woman,, Detective Male Lead",Prime Video,https://i.mydramalist.com/VBw6vc.jpg?v=1,16 episodes
550,The One and Only,2021,"Mystery, Romance, Drama, Melodrama","Ahn Eun Jin, Kim Kyung Nam, Kang Ye Won, Joy, Go Doo Shim, Jang Hyun Sung","""When Pyo In Sook was a child, her parents abandoned her with her grandmother who raised her. Her life has never been easy or comfortable. She now works at a public bathhouse scrubbing customers bodies. Her defense mechanism is to not express her feelings to other people. One day, a doctor tells her she has a terminal illness and will die soon. Even coming face-to-face with her own mortality, In Sook remains emotionless. She begins receiving care at a hospice and meets two women with lives very different from her own: Seong Mi Do, a social media influencer, and Kang Se Yeon, an ordinary housewife who feels lonely and taken for granted. One rainy day, In Sook meets Min Woo Cheon, a contract killer who works at a private detective office. Woo Cheons cool exterior masks a deep sadness. Each of the three women decides to end the life of one person who has done them wrong before they die, but in becoming friends, their anger begins to subside. When In Sook and Woo Cheon develop feelings for each other, though, she begins to rethink her plans. "", "" emotionless. She begins receiving care at a hospice and meets two women with lives very different from her own: Seong Mi Do, a social media influencer, and Kang Se Yeon, an ordinary housewife who feels lonely and taken for granted. One rainy day, In Sook meets Min Woo Cheon, a contract killer who works at a private detective office. Woo Cheons cool exterior masks a deep sadness. Each of the three women decides to end the life of one person who has done them wrong before they die, but in becoming friends, their anger begins to subside. When In Sook and Woo Cheon develop feelings for each other, though, she begins to rethink her plans. """,7.9,15+ - Teens 15 or older,"Terminal Illness,, Hospice Care,, Orphan Male Lead,, Murder,, Skilled Killer,, Death,, Tragic Past,, Investigation,, Cynical Male Lead,, Insomnia","Prime Video, TVING, Viki, Netflix",https://i.mydramalist.com/BYP31_4c.jpg?v=1,16 episodes
551,Decoy,2023,"Thriller, Crime","Jang Geun Suk, Heo Sung Tae, Lee Elijah, Yoo Sung Joo, Lee Sung Wook, Park Myung Hoon","Koo Do Han, a former lawyer turned detective, is on a quest to uncover the truth behind an unsolved crime from the past. He investigates current cases to piece together clues to find the perpetrator. Along his journey, he encounters Cheon Na Yeon, an eager reporter, and No Sang Cheon, a con artist. Together, they work to unravel the truth and bring justice to the case. ,",7.9,Not Yet Rated,"Swindler Male Lead,, Reporter Male Lead,, Detective Male Lead,, Smart Female Lead,, Miniseries,, Web Series,, Suspense","Prime Video, Viki",https://i.mydramalist.com/kgnZw_4c.jpg?v=1,6 episodes
552,Tracer,2022,"Action, Thriller, Mystery, Drama","Yim Si Wan, Son Hyun Joo, Go Ah Sung, Park Yong Woo, Jeon Ik Ryung, Moon Won Ju","Hwang Dong Joo is the chief of taxation division 5 at the National Tax Service. He works hard to trace money that is hidden from the tax service. His team includes Seo Hye Young, who has a bright personality, and his boss is Oh Young. Meanwhile, In Tae Joon is the director of a regional tax office. He is an ambitious man who has earned his way to the top through corrupt and illegal actions, all the while maintaining his cocky attitude. , and illegal actions, all the while maintaining his cocky attitude. ",7.9,15+ - Teens 15 or older,"Corruption,, Revenge,, Investigation,, Confident Male Lead,, Scheme,, Power Struggle,, Miniseries,, Suspense,, Brave Male Lead,, Death","Viki, Wavve",https://i.mydramalist.com/2e6OR_4c.jpg?v=1,8 episodes
553,Where Stars Land,2018,"Comedy, Romance, Fantasy, Melodrama","Chae Soo Bin, Lee Je Hoon, Lee Dong Gun, Kim Jee Soo, Kim Kyung Nam, Lee Soo Kyung","Where Stars Land follows the lives of workers at Incheon Airport, and in particular, the interactions between a clumsy, yet bubbly, woman named Han Yeo Reum and a prickly and mysterious man named Lee Soo Yeon. Han Yeo Reum is a first year member of the Passenger Services team and is anything but ordinary. She wants to be a perfectionist and get everything right but her very clumsy and reckless nature goes against this dream. She has a good heart and strives to do the right thing even if it means going against the rules. Lee Soo Yeon is also a first year member of the General Planning department. He is a perfectionist who wants nothing but to be ordinary. He graduated from KAIST and dreamed of becoming a pilot. He seems cold and aloof when in fact he is lonely, but a mysterious secret he hides causes him to distance himself from everyone he interacts with. When these two polar opposite individuals interact, they start off at the wrong foot. But over time, can a love develop? , against this dream. She has a good heart and strives to do the right thing even if it means going against the rules. Lee Soo Yeon is also a first year member of the General Planning department. He is a perfectionist who wants nothing but to be ordinary. He graduated from KAIST and dreamed of becoming a pilot. He seems cold and aloof when in fact he is lonely, but a mysterious secret he hides causes him to distance himself from everyone he interacts with. When these two polar opposite individuals interact, they start off at the wrong foot. But over time, can a love develop? ",7.9,15+ - Teens 15 or older,"Cold Man/Warm Woman,, Teamwork,, Flashback To Past,, Male Chases Female First,, Clumsy Female Lead,, Airhead Female Lead,, Steamy Kiss,, Reserved Male Lead,, Car Accident,, Tough Male Lead","Apple TV, SBS World, Viki",https://i.mydramalist.com/ZgYg8c.jpg?v=1,32 episodes
554,Super Family,2017,"Comedy, Romance, Drama, Sitcom","Park Hyuk Kwon, Park Sun Young, Kim Ji Min, Uhm Hyo Sub, Park Hee Bon, Kim Ki Ri","This drama is about a 44-year-old man, Na Chun Il who is head of a department in a large corporation. At the same time, he must fulfil various life roles: husband, father, the eldest son, boss, subordinate. Maeng Ra Yeon is his wife, and they have a daughter Na Ik Hee. ,",7.9,13+ - Teens 13 or older,"Family Relationship,, Slice Of Life,, Married Female Lead,, Married Male Lead,, ""Neighbors Relationship,"", Office Worker",SBS World,https://i.mydramalist.com/6kYwd_4c.jpg?v=1,40 episodes
